tag,module,description
acquisition,msdescription,(acquisition) contains any descriptive or other information concerning the process by which a manuscript or manuscript part or other object entered the holding institution.
additional,msdescription,"(additional) groups additional information, combining bibliographic information about a manuscript or other object, or surrogate copies of it, with curatorial or administrative information."
additions,msdescription,"(additions) contains a description of any significant additions found within a manuscript or other object, such as marginalia or other annotations."
adminInfo,msdescription,"(administrative information) contains information about the present custody and availability of the manuscript or other object, and also about the record description itself."
altIdentifier,msdescription,"(alternative identifier) contains an alternative or former structured identifier used for a manuscript or other object, such as a former catalogue number."
binding,msdescription,"(binding) contains a description of one binding, i.e. type of covering, boards, etc. applied to a manuscript or other object."
bindingDesc,msdescription,"(binding description) describes the present and former bindings of a manuscript or other object, either as a series of paragraphs or as a series of distinct binding elements, one for each binding of the manuscript."
catchwords,msdescription,"(catchwords) describes the system used to ensure correct ordering of the quires or similar making up a codex, incunable, or other object typically by means of annotations at the foot of the page."
collation,msdescription,"(collation) contains a description of how the leaves, bifolia, or similar objects are physically arranged."
collection,msdescription,"(collection) contains the name of a collection of manuscripts or other objects, not necessarily located within a single repository."
colophon,msdescription,"(colophon) contains the colophon of an item: that is, a statement providing information regarding the date, place, agency, or reason for production of the manuscript or other object."
condition,msdescription,(condition) contains a description of the physical condition of the manuscript or object.
custEvent,msdescription,(custodial event) describes a single event during the custodial history of a manuscript or other object.
custodialHist,msdescription,"(custodial history) contains a description of a manuscript or other object's custodial history, either as running prose or as a series of dated custodial events."
decoDesc,msdescription,"(decoration description) contains a description of the decoration of a manuscript or other object, either as in paragraphs, or as one or more decoNote elements."
decoNote,msdescription,"(note on decoration) contains a note describing either a decorative component of a manuscript or other object, or a fairly homogenous class of such components."
depth,msdescription,"(depth) contains a measurement from the front to the back of an object, perpendicular to the measurement given by the width element."
dim,msdescription,contains any single measurement forming part of a dimensional specification of some sort.
dimensions,msdescription,(dimensions) contains a dimensional specification.
explicit,msdescription,"(explicit) contains the explicit of a item, that is, the closing words of the text proper, exclusive of any rubric or colophon which might follow it."
filiation,msdescription,"(filiation) contains information concerning the manuscript or other object's filiation, i.e. its relationship to other surviving manuscripts or other objects of the same text or contents, its protographs, antigraphs and apographs."
finalRubric,msdescription,"(final rubric) contains the string of words that denotes the end of a text division, often with an assertion as to its author and title, usually set off from the text itself by red ink, by a different size or type of script, or by some other such visual device."
foliation,msdescription,(foliation) describes the numbering system or systems used to count the leaves or pages in a codex or similar object.
handDesc,msdescription,(description of hands) contains a description of all the different hands used in a manuscript or other object.
height,msdescription,(height) contains a measurement measured along the axis at a right angle to the bottom of the object.
heraldry,msdescription,"(heraldry) contains a heraldic formula or phrase, typically found as part of a blazon, coat of arms, etc."
history,msdescription,"(history) groups elements describing the full history of a manuscript, manuscript part, or other object."
incipit,msdescription,"contains the incipit of a manuscript or similar object item, that is the opening words of the text proper, exclusive of any rubric which might precede it, of sufficient length to identify the work uniquely; such incipits were, in former times, frequently used a means of reference to a work, in place of a title."
institution,msdescription,"(institution) contains the name of an organization such as a university or library, with which a manuscript or other object is identified, generally its holding institution."
layout,msdescription,"(layout) describes how text is laid out on the page or surface of the object, including information about any ruling, pricking, or other evidence of page-preparation techniques."
layoutDesc,msdescription,(layout description) collects the set of layout descriptions applicable to a manuscript or other object.
locus,msdescription,"(locus) defines a location within a manuscript, manuscript part, or other object typically as a (possibly discontinuous) sequence of folio references."
locusGrp,msdescription,"(locus group) groups a number of locations which together form a distinct but discontinuous item within a manuscript, manuscript part, or other object."
material,msdescription,(material) contains a word or phrase describing the material of which the object being described is composed.
msContents,msdescription,"(manuscript contents) describes the intellectual content of a manuscript, manuscript part, or other object either as a series of paragraphs or as a series of structured manuscript items."
msDesc,msdescription,(manuscript description) contains a description of a single identifiable manuscript or other text-bearing object such as an early printed book.
msFrag,msdescription,"(manuscript fragment) contains information about a fragment described in relation to a prior context, typically as a description of a virtual reconstruction of a manuscript or other object whose fragments were catalogued separately"
msIdentifier,msdescription,(manuscript identifier) contains the information required to identify the manuscript or similar object being described.
msItem,msdescription,"(manuscript item) describes an individual work or item within the intellectual content of a manuscript, manuscript part, or other object."
msItemStruct,msdescription,"(structured manuscript item) contains a structured description for an individual work or item within the intellectual content of a manuscript, manuscript part, or other object."
msName,msdescription,"(alternative name) contains any form of unstructured alternative name used for a manuscript or other object, such as an ‘ocellus nominum’, or nickname."
msPart,msdescription,"(manuscript part) contains information about an originally distinct manuscript or part of a manuscript, which is now part of a composite manuscript."
musicNotation,msdescription,(music notation) contains description of type of musical notation.
objectDesc,msdescription,(object description) contains a description of the physical components making up the object which is being described.
objectType,msdescription,(object type) contains a word or phrase describing the type of object being referred to.
origDate,msdescription,"(origin date) contains any form of date, used to identify the date of origin for a manuscript, manuscript part, or other object."
origPlace,msdescription,"(origin place) contains any form of place name, used to identify the place of origin for a manuscript, manuscript part, or other object."
origin,msdescription,"(origin) contains any descriptive or other information concerning the origin of a manuscript, manuscript part, or other object."
physDesc,msdescription,"(physical description) contains a full physical description of a manuscript, manuscript part, or other object optionally subdivided using more specialized elements from the model.physDescPart class."
provenance,msdescription,"(provenance) contains any descriptive or other information concerning a single identifiable episode during the history of a manuscript, manuscript part, or other object after its creation but before its acquisition."
recordHist,msdescription,(recorded history) provides information about the source and revision status of the parent manuscript or object description itself.
repository,msdescription,"(repository) contains the name of a repository within which manuscripts or other objects are stored, possibly forming part of an institution."
rubric,msdescription,"(rubric) contains the text of any rubric or heading attached to a particular manuscript item, that is, a string of words through which a manuscript or other object signals the beginning of a text division, often with an assertion as to its author and title, which is in some way set off from the text itself, typically in red ink, or by use of different size or type of script, or some other such visual device."
scriptDesc,msdescription,(script description) contains a description of the scripts used in a manuscript or other object.
seal,msdescription,(seal) contains a description of one seal or similar applied to the object described
sealDesc,msdescription,"(seal description) describes the seals or similar items related to the object described, either as a series of paragraphs or as a series of seal elements."
secFol,msdescription,(second folio) marks the word or words taken from a fixed point in a codex (typically the beginning of the second leaf) in order to provide a unique identifier for it.
signatures,msdescription,(signatures) contains discussion of the leaf or quire signatures found within a codex or similar object.
source,msdescription,(source) describes the original source for the information contained with a manuscript or object description.
stamp,msdescription,(stamp) contains a word or phrase describing a stamp or similar device.
summary,msdescription,"contains an overview of the available information concerning some aspect of an item or object (for example, its intellectual content, history, layout, typography etc.) as a complement or alternative to the more detailed information carried by more specific elements."
support,msdescription,(support) contains a description of the materials etc. which make up the physical support for the written part of a manuscript or other object.
supportDesc,msdescription,(support description) groups elements describing the physical support for the written part of a manuscript or other object.
surrogates,msdescription,(surrogates) contains information about any representations of the manuscript or other object being described which may exist in the holding institution or elsewhere.
typeDesc,msdescription,(typeface description) contains a description of the typefaces or other aspects of the printing of an incunable or other printed source.
typeNote,msdescription,(typographic note) describes a particular font or other significant typographic feature distinguished within the description of a printed resource.
watermark,msdescription,(watermark) contains a word or phrase describing a watermark or similar device.
width,msdescription,"(width) contains a measurement of an object along the axis parallel to its bottom, e.g. perpendicular to the spine of a book or codex."
addName,namesdates,"(additional name) contains an additional name component, such as a nickname, epithet, or alias, or any other descriptive phrase used within a personal name."
affiliation,namesdates,"(affiliation) contains an informal description of a person's present or past affiliation with some organization, for example an employer or sponsor."
age,namesdates,(age) specifies the age of a person.
birth,namesdates,"(birth) contains information about a person's birth, such as its date and place."
bloc,namesdates,(bloc) contains the name of a geo-political unit consisting of two or more nation states or countries.
climate,namesdates,(climate) contains information about the physical climate of a place.
country,namesdates,"(country) contains the name of a geo-political unit, such as a nation, country, colony, or commonwealth, larger than or administratively superior to a region and smaller than a bloc."
death,namesdates,"(death) contains information about a person's death, such as its date and place."
district,namesdates,"(district) contains the name of any kind of subdivision of a settlement, such as a parish, ward, or other administrative or geographic unit."
education,namesdates,(education) contains a description of the educational experience of a person.
event,namesdates,(event) contains data relating to anything of significance that happens in time.
eventName,namesdates,(name of an event) contains a proper noun or noun phrase used to refer to an event.
faith,namesdates,"(faith) specifies the faith, religion, or belief set of a person."
floruit,namesdates,(floruit) contains information about a person's period of activity.
forename,namesdates,"(forename) contains a forename, given or baptismal name."
genName,namesdates,(generational name component) contains a name component used to distinguish otherwise similar names on the basis of the relative ages or generations of the persons named.
gender,namesdates,"(gender) specifies the gender identity of a person, persona, or character."
geo,namesdates,"(geographical coordinates) contains any expression of a set of geographic coordinates, representing a point, line, or area on the surface of the earth in some notation."
geogFeat,namesdates,"(geographical feature name) contains a common noun identifying some geographical feature contained within a geographic name, such as valley, mount, etc."
geogName,namesdates,(geographical name) identifies a name associated with some geographical feature such as Windrush Valley or Mount Sinai.
langKnowledge,namesdates,"(language knowledge) summarizes the state of a person's linguistic knowledge, either as prose or by a list of langKnown elements."
langKnown,namesdates,"(language known) summarizes the state of a person's linguistic competence, i.e., knowledge of a single language."
listEvent,namesdates,"(list of events) contains a list of descriptions, each of which provides information about an identifiable event."
listNym,namesdates,"(list of canonical names) contains a list of nyms, that is, standardized names for any thing."
listObject,namesdates,"(list of objects) contains a list of descriptions, each of which provides information about an identifiable physical object."
listOrg,namesdates,"(list of organizations) contains a list of elements, each of which provides information about an identifiable organization."
listPerson,namesdates,"(list of persons) contains a list of descriptions, each of which provides information about an identifiable person or a group of people, for example the participants in a language interaction, or the people referred to in a historical source."
listPlace,namesdates,"(list of places) contains a list of places, optionally followed by a list of relationships (other than containment) defined amongst them."
listRelation,namesdates,"provides information about relationships identified amongst people, places, and organizations, either informally as prose or as formally expressed relation links."
location,namesdates,"(location) defines the location of a place as a set of geographical coordinates, in terms of other named geo-political entities, or as an address."
nameLink,namesdates,"(name link) contains a connecting phrase or link used within a name but not regarded as part of it, such as van der or of."
nationality,namesdates,(nationality) contains an informal description of a person's present or past nationality or citizenship.
nym,namesdates,(canonical name) contains the definition for a canonical name or name component of any kind.
object,namesdates,contains a description of a single identifiable physical object.
objectIdentifier,namesdates,(object identifier) groups one or more identifiers or pieces of locating information concerning a single object.
objectName,namesdates,(name of an object) contains a proper noun or noun phrase used to refer to an object.
occupation,namesdates,"(occupation) contains an informal description of a person's trade, profession or occupation."
offset,namesdates,"(offset) marks that part of a relative temporal or spatial expression which indicates the direction of the offset between the two place names, dates, or times involved in the expression."
org,namesdates,"(organization) provides information about an identifiable organization such as a business, a tribe, or any other grouping of people."
orgName,namesdates,(organization name) contains an organizational name.
persName,namesdates,"(personal name) contains a proper noun or proper-noun phrase referring to a person, possibly including one or more of the person's forenames, surnames, honorifics, added names, etc."
persPronouns,namesdates,"(personal pronouns) indicates the personal pronouns used, or assumed to be used, by the individual being described."
person,namesdates,"(person) provides information about an identifiable individual, for example a participant in a language interaction, or a person referred to in a historical source."
personGrp,namesdates,(personal group) describes a group of individuals treated as a single person for analytic purposes.
persona,namesdates,"provides information about one of the personalities identified for a given individual, where an individual has multiple personalities."
place,namesdates,(place) contains data about a geographic location
placeName,namesdates,(place name) contains an absolute or relative place name.
population,namesdates,(population) contains information about the population of a place.
region,namesdates,"(region) contains the name of an administrative unit such as a state, province, or county, larger than a settlement, but smaller than a country."
relation,namesdates,"(relationship) describes any kind of relationship or linkage amongst a specified group of places, events, persons, objects or other items."
residence,namesdates,(residence) describes a person's present or past places of residence.
roleName,namesdates,"(role name) contains a name component which indicates that the referent has a particular role or position in society, such as an official title or rank."
settlement,namesdates,"(settlement) contains the name of a settlement such as a city, town, or village identified as a single geo-political or administrative unit."
sex,namesdates,(sex) specifies the sex of an organism.
socecStatus,namesdates,(socio-economic status) contains an informal description of a person's perceived social or economic status.
state,namesdates,"(state) contains a description of some status or quality attributed to a person, place, or organization often at some specific time or for a specific date range."
surname,namesdates,"(surname) contains a family (inherited) name, as opposed to a given, baptismal, or nick name."
terrain,namesdates,(terrain) contains information about the physical terrain of a place.
trait,namesdates,"(trait) contains a description of some status or quality attributed to a person, place, or organization typically, but not necessarily, independent of the volition or action of the holder and usually not at some specific time or for a specific date range."
arc,nets,"(arc) encodes an arc, the connection from one node to another in a graph."
eLeaf,nets,"(leaf or terminal node of an embedding tree) provides explicitly for a leaf of an embedding tree, which may also be encoded with the eTree element."
eTree,nets,(embedding tree) provides an alternative to the tree element for representing ordered rooted tree structures.
forest,nets,(forest) provides for groups of rooted trees.
graph,nets,"(graph) encodes a graph, which is a collection of nodes, and arcs which connect the nodes."
iNode,nets,(intermediate (or internal) node) represents an intermediate (or internal) node of a tree.
leaf,nets,(leaf) encodes the leaves (terminal nodes) of a tree.
listForest,nets,provides for lists of forests.
node,nets,"(node) encodes a node, a possibly labeled point in a graph."
root,nets,(root node) represents the root node of a tree.
tree,nets,"(tree) encodes a tree, which is made up of a root, internal nodes, leaves, and arcs from root to leaves."
triangle,nets,"(underspecified embedding tree, so called because of its characteristic shape when drawn) provides for an underspecified eTree, that is, an eTree with information left out."
annotationBlock,spoken,"groups together various annotations, e.g. for parallel interpretations of a spoken segment."
broadcast,spoken,(broadcast) describes a broadcast used as the source of a spoken text.
equipment,spoken,(equipment) provides technical details of the equipment and media used for an audio or video recording used as the source for a spoken text.
incident,spoken,"(incident) marks any phenomenon or occurrence, not necessarily vocalized or communicative, for example incidental noises or other events affecting communication."
kinesic,spoken,"(kinesic) marks any communicative phenomenon, not necessarily vocalized, for example a gesture, frown, etc."
pause,spoken,(pause) marks a pause either between or within utterances.
recording,spoken,"(recording event) provides details of an audio or video recording event used as the source of a spoken text, either directly or from a public broadcast."
recordingStmt,spoken,(recording statement) describes a set of recordings used as the basis for transcription of a spoken text.
scriptStmt,spoken,(script statement) contains a citation giving details of the script used for a spoken text.
shift,spoken,(shift) marks the point at which some paralinguistic feature of a series of utterances by any one speaker changes.
transcriptionDesc,spoken,"(transcription description) describes the set of transcription conventions used, particularly for spoken material."
u,spoken,(utterance) contains a stretch of speech usually preceded and followed by silence or by a change of speaker.
vocal,spoken,"(vocal) marks any vocalized but not necessarily lexical phenomenon, for example voiced pauses, non-lexical backchannels, etc."
writing,spoken,(writing) contains a passage of written text revealed to participants in the course of a spoken text.
altIdent,tagdocs,"(alternate identifier) supplies the recommended XML name for an element, class, attribute, etc. in some language."
alternate,tagdocs,indicates that the constructs referenced by its children form an alternation
anyElement,tagdocs,indicates the presence of any elements in a content model
att,tagdocs,(attribute) contains the name of an attribute appearing within running text.
attDef,tagdocs,(attribute definition) contains the definition of a single attribute.
attList,tagdocs,"(attribute list) contains documentation for all the attributes associated with this element, as a series of attDef elements."
attRef,tagdocs,(attribute pointer) points to the definition of an attribute or group of attributes.
classRef,tagdocs,points to the specification for an attribute or model class which is to be included in a schema
classSpec,tagdocs,"(class specification) contains reference information for a TEI element class; that is a group of elements which appear together in content models, or which share some common attribute, or both."
classes,tagdocs,(classes) specifies all the classes of which the documented element or class is a member or subclass.
code,tagdocs,contains literal code from some formal language such as a programming language.
constraint,tagdocs,(constraint rules) the formal rules of a constraint
constraintSpec,tagdocs,"(constraint on schema) contains a formal constraint, typically expressed in a rule-based schema language, to which a construct must conform in order to be considered valid"
content,tagdocs,(content model) contains a declaration of the intended content model for the element (or other construct) being specified.
dataFacet,tagdocs,"Restricts the value of the strings used to represent values of a datatype, according to XML Schema Part 2: Datatypes Second Edition."
dataRef,tagdocs,"identifies the datatype of an attribute value, either by referencing an item in an externally defined datatype library, or by pointing to a TEI-defined data specification"
dataSpec,tagdocs,(datatype specification) documents a datatype.
datatype,tagdocs,"(datatype) specifies the declared value for an attribute, by referring to any datatype defined by the chosen schema language."
defaultVal,tagdocs,(default value) specifies the default declared value for an attribute.
eg,tagdocs,(example) contains any kind of illustrative example.
egXML,tagdocs,"(example of XML) a single XML fragment demonstrating the use of some XML, such as elements, attributes, or processing instructions, etc., in which the egXML element functions as the root element."
elementRef,tagdocs,points to the specification for some element which is to be included in a schema
elementSpec,tagdocs,"(element specification) documents the structure, content, and purpose of a single element type."
empty,tagdocs,indicates the presence of an empty node within a content model
equiv,tagdocs,"(equivalent) specifies a component which is considered equivalent to the parent element, either by co-reference, or by external link."
exemplum,tagdocs,(exemplum) groups an example demonstrating the use of an element along with optional paragraphs of commentary.
gi,tagdocs,(element name) contains the name (generic identifier) of an element.
ident,tagdocs,"(identifier) contains an identifier or name for an object of some kind in a formal language. ident is used for tokens such as variable names, class names, type names, function names etc. in formal programming languages."
listRef,tagdocs,(list of references) supplies a list of significant references in the current document or elsewhere
macroRef,tagdocs,points to the specification for some pattern which is to be included in a schema
macroSpec,tagdocs,(macro specification) documents the function and implementation of a pattern.
memberOf,tagdocs,specifies class membership of the documented element or class.
model,tagdocs,describes the processing intended for a specified element.
modelGrp,tagdocs,(model group) any grouping of model or modelSequence elements with a common output method
modelSequence,tagdocs,any sequence of model or modelSequence elements which is to be processed as a single set of actions
moduleRef,tagdocs,(module reference) references a module which is to be incorporated into a schema.
moduleSpec,tagdocs,"(module specification) documents the structure, content, and purpose of a single module, i.e. a named and externally visible group of declarations."
outputRendition,tagdocs,describes the rendering or appearance intended for all occurrences of an element in a specified context for a specified type of output
param,tagdocs,provides a parameter for a model behaviour by supplying its name and an XPath expression identifying the location of its content.
paramList,tagdocs,list of parameter specification
paramSpec,tagdocs,supplies specification for one parameter of a model behaviour
remarks,tagdocs,"(remarks) contains any commentary or discussion about the usage of an element, attribute, class, or entity not otherwise documented within the containing element."
schemaSpec,tagdocs,(schema specification) generates a TEI-conformant schema and documentation for it.
sequence,tagdocs,indicates that the constructs referenced by its children form a sequence
specDesc,tagdocs,"(specification description) indicates that a description of the specified element, class, or macro should be included at this point within a document."
specGrp,tagdocs,(specification group) contains any convenient grouping of specifications for use within the current module.
specGrpRef,tagdocs,(reference to a specification group) indicates that the declarations contained by the specGrp referenced should be inserted at this point.
specList,tagdocs,(specification list) marks where a list of descriptions is to be inserted into the prose documentation.
tag,tagdocs,"(tag) contains text of a complete start- or end-tag, possibly including attribute specifications, but excluding the opening and closing markup delimiter characters."
textNode,tagdocs,indicates the presence of a text node in a content model
val,tagdocs,(value) contains a single attribute value.
valDesc,tagdocs,"(value description) specifies any semantic or syntactic constraint on the value that an attribute may take, additional to the information carried by the datatype element."
valItem,tagdocs,documents a single value in a predefined list of values.
valList,tagdocs,(value list) contains one or more valItem elements defining possible values.
app,textcrit,"(apparatus entry) contains one entry in a critical apparatus, with an optional lemma and usually one or more readings or notes on the relevant passage."
lacunaEnd,textcrit,(lacuna end) indicates the end of a lacuna in a mostly complete textual witness.
lacunaStart,textcrit,(lacuna start) indicates the beginning of a lacuna in the text of a mostly complete textual witness.
lem,textcrit,"(lemma) contains the lemma, or base text, of a textual variation."
listApp,textcrit,(list of apparatus entries) contains a list of apparatus entries.
listWit,textcrit,"(witness list) lists definitions for all the witnesses referred to by a critical apparatus, optionally grouped hierarchically."
rdg,textcrit,(reading) contains a single reading within a textual variation.
rdgGrp,textcrit,"(reading group) within a textual variation, groups two or more readings perceived to have a genetic relationship or other affinity."
variantEncoding,textcrit,(variant encoding) declares the method used to encode text-critical variants.
wit,textcrit,"(wit) contains a list of one or more sigla of witnesses attesting a given reading, in a textual variation."
witDetail,textcrit,"(witness detail) gives further information about a particular witness, or witnesses, to a particular reading."
witEnd,textcrit,"(fragmented witness end) indicates the end, or suspension, of the text of a fragmentary witness."
witStart,textcrit,"(fragmented witness start) indicates the beginning, or resumption, of the text of a fragmentary witness."
witness,textcrit,"(witness) contains either a description of a single witness referred to within the critical apparatus, or a list of witnesses which is to be referred to by a single sigil."
TEI,textstructure,"(TEI document) contains a single TEI-conformant document, combining a single TEI header with one or more members of the model.resource class. Multiple TEI elements may be combined within a TEI (or teiCorpus) element."
argument,textstructure,(argument) contains a formal list or prose description of the topics addressed by a subdivision of a text.
back,textstructure,"(back matter) contains any appendixes, etc. following the main part of a text."
body,textstructure,"(text body) contains the whole body of a single unitary text, excluding any front or back matter."
byline,textstructure,(byline) contains the primary statement of responsibility given for a work on its title page or at the head or end of the work.
closer,textstructure,"(closer) groups together salutations, datelines, and similar phrases appearing as a final group at the end of a division, especially of a letter."
dateline,textstructure,"(dateline) contains a brief description of the place, date, time, etc. of production of a letter, newspaper story, or other work, prefixed or suffixed to it as a kind of heading or trailer."
div,textstructure,"(text division) contains a subdivision of the front, body, or back of a text."
div1,textstructure,"(level-1 text division) contains a first-level subdivision of the front, body, or back of a text."
div2,textstructure,"(level-2 text division) contains a second-level subdivision of the front, body, or back of a text."
div3,textstructure,"(level-3 text division) contains a third-level subdivision of the front, body, or back of a text."
div4,textstructure,"(level-4 text division) contains a fourth-level subdivision of the front, body, or back of a text."
div5,textstructure,"(level-5 text division) contains a fifth-level subdivision of the front, body, or back of a text."
div6,textstructure,"(level-6 text division) contains a sixth-level subdivision of the front, body, or back of a text."
div7,textstructure,"(level-7 text division) contains the smallest possible subdivision of the front, body or back of a text, larger than a paragraph."
docAuthor,textstructure,"(document author) contains the name of the author of the document, as given on the title page (often but not always contained in a byline)."
docDate,textstructure,"(document date) contains the date of a document, as given on a title page or in a dateline."
docEdition,textstructure,(document edition) contains an edition statement as presented on a title page of a document.
docImprint,textstructure,"(document imprint) contains the imprint statement (place and date of publication, publisher name), as given (usually) at the foot of a title page."
docTitle,textstructure,"(document title) contains the title of a document, including all its constituents, as given on a title page."
epigraph,textstructure,"(epigraph) contains a quotation, anonymous or attributed, appearing at the start or end of a section or on a title page."
floatingText,textstructure,"(floating text) contains a single text of any kind, whether unitary or composite, which interrupts the text containing it at any point and after which the surrounding text resumes."
front,textstructure,"(front matter) contains any prefatory matter (headers, abstracts, title page, prefaces, dedications, etc.) found at the start of a document, before the main body."
group,textstructure,"(group) contains the body of a composite text, grouping together a sequence of distinct texts (or groups of such texts) which are regarded as a unit for some purpose, for example the collected works of an author, a sequence of prose essays, etc."
imprimatur,textstructure,"(imprimatur) contains a formal statement authorizing the publication of a work, sometimes required to appear on a title page or its verso."
opener,textstructure,"(opener) groups together dateline, byline, salutation, and similar phrases appearing as a preliminary group at the start of a division, especially of a letter."
postscript,textstructure,"contains a postscript, e.g. to a letter."
salute,textstructure,"(salutation) contains a salutation or greeting prefixed to a foreword, dedicatory epistle, or other division of a text, or the salutation in the closing of a letter, preface, etc."
signed,textstructure,"(signature) contains the closing salutation, etc., appended to a foreword, dedicatory epistle, or other division of a text."
text,textstructure,"(text) contains a single text of any kind, whether unitary or composite, for example a poem or drama, a collection of essays, a novel, a dictionary, or a corpus sample."
titlePage,textstructure,"(title page) contains the title page of a text, appearing within the front or back matter."
titlePart,textstructure,"(title part) contains a subsection or division of the title of a work, as indicated on a title page."
trailer,textstructure,contains a closing title or footer appearing at the end of a division of a text.
addSpan,transcr,"(added span of text) marks the beginning of a longer sequence of text added by an author, scribe, annotator or corrector (see also add)."
am,transcr,(abbreviation marker) contains a sequence of letters or signs present in an abbreviation which are omitted or replaced in the expanded form of the abbreviation.
damage,transcr,(damage) contains an area of damage to the text witness.
damageSpan,transcr,(damaged span of text) marks the beginning of a longer sequence of text which is damaged in some way but still legible.
delSpan,transcr,"(deleted span of text) marks the beginning of a longer sequence of text deleted, marked as deleted, or otherwise signaled as superfluous or spurious by an author, scribe, annotator, or corrector."
ex,transcr,(editorial expansion) contains a sequence of letters added by an editor or transcriber when expanding an abbreviation.
facsimile,transcr,contains a representation of some written source in the form of a set of images rather than as transcribed or encoded text.
fw,transcr,"(forme work) contains a running head (e.g. a header, footer), catchword, or similar material appearing on the current page."
handNotes,transcr,contains one or more handNote elements documenting the different hands identified within the source texts.
handShift,transcr,"(handwriting shift) marks the beginning of a sequence of text written in a new hand, or the beginning of a scribal stint."
line,transcr,contains the transcription of a topographic line in the source document
listTranspose,transcr,"supplies a list of transpositions, each of which is indicated at some point in a document typically by means of metamarks."
metamark,transcr,contains or describes any kind of graphic or written signal within a document the function of which is to determine how it should be read rather than forming part of the actual content of the document.
mod,transcr,represents any kind of modification identified within a single document.
path,transcr,(path) defines any line passing through two or more points within a surface element.
redo,transcr,indicates one or more cancelled interventions in a document which have subsequently been marked as reaffirmed or repeated.
restore,transcr,(restore) indicates restoration of text to an earlier state by cancellation of an editorial or authorial marking or instruction.
retrace,transcr,"contains a sequence of writing which has been retraced, for example by over-inking, to clarify or fix it."
secl,transcr,(secluded text) Secluded. Marks text present in the source which the editor believes to be genuine but out of its original place (which is unknown).
sourceDoc,transcr,contains a transcription or other representation of a single source document potentially forming part of a dossier génétique or collection of sources.
space,transcr,(space) indicates the location of a significant space in the text.
subst,transcr,(substitution) groups one or more deletions (or surplus text) with one or more additions when the combination is to be regarded as a single intervention in the text.
substJoin,transcr,"(substitution join) identifies a series of possibly fragmented additions, deletions, or other revisions on a manuscript that combine to make up a single intervention in the text"
supplied,transcr,"(supplied) signifies text supplied by the transcriber or editor for any reason; for example because the original cannot be read due to physical damage, or because of an obvious omission by the author or scribe."
surface,transcr,"defines a written surface as a two-dimensional coordinate space, optionally grouping one or more graphic representations of that space, zones of interest within that space, and, when using an embedded transcription approach, transcriptions of the writing within them."
surfaceGrp,transcr,"(surface group) defines any kind of useful grouping of written surfaces, for example the recto and verso of a single leaf, which the encoder wishes to treat as a single unit."
surplus,transcr,(surplus) marks text present in the source which the editor believes to be superfluous or redundant.
transpose,transcr,describes a single textual transposition as an ordered list of at least two pointers specifying the order in which the elements indicated should be re-combined.
undo,transcr,indicates one or more marked-up interventions in a document which have subsequently been marked for cancellation.
zone,transcr,defines any two-dimensional area within a surface element.
caesura,verse,marks the point at which a metrical line may be divided.
metDecl,verse,"(metrical notation declaration) documents the notation employed to represent a metrical pattern when this is specified as the value of a met, real, or rhyme attribute on any structural element of a metrical text (e.g. lg, l, or seg)."
metSym,verse,"(metrical notation symbol) documents the intended significance of a particular character or character sequence within a metrical notation, either explicitly or in terms of other metSym elements in the same metDecl."
rhyme,verse,marks the rhyming part of a metrical line.
